Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
W0,Kacie,14-Mar,1:00:22 PM,,1,,,,,,,
W0,Kacie,14-Mar,1:00:39 PM,1,,,,,,,,
W0,Kacie,14-Mar,1:00:56 PM,,1,,,,,,,
W0,Kacie,14-Mar,1:01:12 PM,1,,,,,,,,
W0,Kacie,14-Mar,1:01:41 PM,,,,,1 (20 seconds),,,,
W0,Kacie,14-Mar,1:02:00 PM,,,,,1 (entire video),,,,nicole working on waldo
W0,Kacie,14-Mar,1:03:02 PM,,,,,1 (8 seconds),,,,
W0,Kacie,14-Mar,1:03:09 PM,1,,,,,,,,
W0,Kacie,14-Mar,1:03:36 PM,,,,1,,,,,
W0,Kacie,14-Mar,1:03:42 PM,1,,,,,,,,
W0,Kacie,14-Mar,1:03:57 PM,,1,,,,,,,
W0,Kacie,14-Mar,1:04:39 PM,,,,,1 (20 seconds),,,,
W0,Kacie,14-Mar,1:05:02 PM,,,,,1 (entire video),,,,nicole putting parts on waldo
W0,Kacie,14-Mar,1:06:02 PM,,,,,1 (entire video),,,,nicole putting parts on waldo
W0,Kacie,14-Mar,1:07:02 PM,,,,,1 (58 seconds),,,,
W0,Kacie,14-Mar,1:09:11 PM,,,,,1 (40 seconds),,,,
W0,Kacie,14-Mar,1:14:04 PM,,1,,,,,,,
W0,Kacie,14-Mar,1:16:33 PM,,,1,,,,,,
W0,Kacie,14-Mar,1:17:16 PM,,,,1,,,,,
W0,Kacie,14-Mar,1:17:55 PM,,,1,,,,,,
W0,Kacie,14-Mar,1:20:25 PM,,,,,,,,1,
W0,Kacie,14-Mar,1:20:58 PM,,,,1,,,,,
W0,Kacie,14-Mar,1:21:22 PM,,,,1,,,,,
W0,Kacie,14-Mar,1:32:47 PM,,,1,,,,,,
W0,Kacie,14-Mar,1:33:03 PM,,,,1,,,,,
W0,Kacie,14-Mar,1:50:50 PM,,,,1,,,,,
