LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,199,1900-03-21 08:16:55,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,200,1900-03-21 08:17:31,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,201,1900-03-21 08:17:51,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,202,1900-03-21 09:26:07,0,0,0,0,1 (5 seconds),0,0,0
Null,0,,,,,,,,,,,203,1900-03-21 09:26:11,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,204,1900-03-21 09:26:57,0,0,0,0,1 (12 seonds),0,0,0
Null,0,,,,,,,,,,,205,1900-03-21 09:27:06,0,0,0,0,1 (3 seconds),0,0,0
Null,0,,,,,,,,,,,206,1900-03-21 09:27:09,1,0,0,0,0,0,0,0
CONFIRMED,2,0.0,51,638,1900-03-21 09:27:30,4,Valid,5,0,2,3,207,1900-03-21 09:27:30,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,208,1900-03-21 10:33:07,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,209,1900-03-21 10:33:10,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,210,1900-03-22 03:47:02,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,211,1900-03-22 08:47:04,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,212,1900-03-22 08:48:31,0,0,0,0,1 (3 seconds),0,0,0
Null,0,,,,,,,,,,,213,1900-03-26 18:39:00,0,0,0,1,0,0,0,0
FPpkt,2,,52,1179,1900-03-26 19:04:34,0,Valid,5,1,1,3,,,,,,,,,,
FPpkt,1,,54,1181,1900-03-26 19:05:11,2,Valid,5,1,4,0,,,,,,,,,,
Null,0,,,,,,,,,,,214,1900-03-26 19:05:59,0,0,0,0,1 (7 seconds),0,0,0
Null,0,,,,,,,,,,,215,1900-03-26 20:16:35,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,216,1900-03-26 20:17:19,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,217,1900-03-26 20:17:24,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,218,1900-03-27 07:41:26,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,219,1900-03-27 07:41:30,0,0,0,0,1 (4 seconds),0,0,0
Null,0,,,,,,,,,,,220,1900-03-27 04:42:36,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,221,1900-03-27 08:23:53,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,222,1900-03-27 08:24:08,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,223,1900-03-27 08:24:31,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,224,1900-03-27 08:24:46,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,225,1900-03-27 08:25:09,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,226,1900-03-27 08:25:25,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,227,1900-03-27 08:25:49,1,0,0,0,0,0,0,0
