,,,,,,,,Waldo:,Detected ppl,,EnOcean,,,,,,
1/12/23 15:13:35, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 15:15:18, preHW2,1,1,out,,out,,out,1,,miss,,,,,,
1/12/23 15:15:44, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 15:29:31, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 15:32:54, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 16:25:03, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/12/23 16:41:23, preHW2,1,3,in/linger/curiosity,"guy stops to look at the sensor, about 7 seconds",,,in,1,,hit,,,,,,
1/12/23 16:49:15, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 16:57:25, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 19:12:53, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/12/23 19:13:08, preHW2,1,1,in,,in,,in,1,,miss,,,,,,
1/12/23 22:40:46, preHW2,1,1,in,janitor with trash can,in,,in,1,,hit,,,,,,
1/12/23 22:48:23, preHW2,1,1,out,janitor with trash can,out,,out,1,,hit,,,,,,
1/12/23 23:57:08, preHW2,1,1,in,janitor with cart,in,,in,1,,hit,,,,,,
1/12/23 23:59:54, preHW2,1,1,out,janitor with cart,out,,out,1,,hit,,,,,,
1/13/23 6:47:22, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 6:59:42, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/13/23 7:02:14, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 7:46:06, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/13/23 7:47:34, preHW2,1,1,pbout,shadow from off camera view,,,pbo,1,,miss,,,,,,
1/13/23 8:41:00, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
1/13/23 8:47:07, preHW2,1,1,in,,in,,in,1,,hit,,,,,,
1/13/23 8:58:27, preHW2,1,1,out,,out,,out,1,,hit,,,,,,
